Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Costo,Visibilidad
sierras-lu3f,Sierra para Melamina,Sierras,Medida,LU3F 0200,102200,,,,,,,LU3F 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3F%200200/1.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3F%200200/2.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3F%200200/3.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aglomerado, MDF, Madera y Melamina</li><li><b>Tipo de diente:</b> Ángulo Negativo</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU3F",Sierra para Melamina LU3F - Freud | WoodTools,"Sierra para Melamina LU3F. Aglomerado, MDF, Madera y Melamina Consultanos por medidas y stock.",Freud,si,,
sierras-lu3f,,,Medida,LU3F 0300,130000,,,,,,,LU3F 0300,,no,no,,,,,,si,,
sierras-lu3f,,,Medida,LU3F 0400,157800,,,,,,,LU3F 0400,,no,no,,,,,,si,,
sierras-lu3e,Sierra para Melamina,Sierras,Medida,LU3E 0200,102200,,,,,,,LU3E 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3E%200200/1.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3E%200200/2.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3E%200200/3.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU3E",Sierra para Melamina LU3E - Freud | WoodTools,Sierra para Melamina LU3E. Melamina Consultanos por medidas y stock.,Freud,si,,
sierras-fr12l,Sierra para Melamina y Madera,Sierras,Medida,FR12L001H,367300,,,,,,,FR12L001H,,no,no,"<p><b>Sierra para Melamina y Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aglomerado, MDF, Madera y Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,FR12L",Sierra para Melamina y Madera FR12L - Freud | WoodTools,"Sierra para Melamina y Madera FR12L. Aglomerado, MDF, Madera y Melamina Consultanos por medidas y stock.",Freud,si,,
sierras-lu3d,Sierra para Melamina,Sierras,Medida,LU3D 0200,102200,,,,,,,LU3D 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3D%200200/1.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3D%200200/2.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3D%200200/3.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU3D",Sierra para Melamina LU3D - Freud | WoodTools,Sierra para Melamina LU3D. Melamina Consultanos por medidas y stock.,Freud,si,,
sierras-lu3d,,,Medida,LU3D 0600,213300,,,,,,,LU3D 0600,,no,no,,,,,,si,,
sierras-f03fs,Sierra Circular Multiuso,Sierras,Medida,F03FS09801,290000,,,,,,,F03FS09801,,no,no,"<p><b>Sierra Circular Multiuso</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aglomerado, MDF, Madera y Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,F03FS",Sierra Circular Multiuso F03FS - Freud | WoodTools,"Sierra Circular Multiuso F03FS. Aglomerado, MDF, Madera y Melamina Consultanos por medidas y stock.",Freud,si,,
sierras-lsb,Sierra Circular Extra Silenciosa,Sierras,Medida,LSB25003X,138200,,,,,,,LSB25003X,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LSB25003X/1.jpg"" alt=""Sierra Circular Extra Silenciosa"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LSB25003X/2.jpg"" alt=""Sierra Circular Extra Silenciosa"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Circular Extra Silenciosa</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Placas Bilaminadas / Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LSB",Sierra Circular Extra Silenciosa LSB - Freud | WoodTools,Sierra Circular Extra Silenciosa LSB. Placas Bilaminadas / Melamina Consultanos por medidas y stock.,Freud,si,,
sierras-lsb,,,Medida,LSB30003X,124600,,,,,,,LSB30003X,,no,no,,,,,,si,,
sierras-lsb,,,Medida,LSB35003X,167800,,,,,,,LSB35003X,,no,no,,,,,,si,,
sierras-lg2a,Sierra para Madera,Sierras,Medida,LG2A 1700,288000,,,,,,,LG2A 1700,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2A/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2A/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2A/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera maciza, blanda y dura</li><li><b>Tipo de diente:</b> Alterno</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LG2A",Sierra para Madera LG2A - Freud | WoodTools,"Sierra para Madera LG2A. Madera maciza, blanda y dura Consultanos por medidas y stock.",Freud,si,,
sierras-lg2a,,,Medida,LG2A 2100,142800,,,,,,,LG2A 2100,,no,no,,,,,,si,,
sierras-lg2a,,,Medida,LG2A 2800,135900,,,,,,,LG2A 2800,,no,no,,,,,,si,,
sierras-lg2b,Sierra para Madera,Sierras,Medida,LG2B 0800,268900,,,,,,,LG2B 0800,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2B/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2B/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2B/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LG2B",Sierra para Madera LG2B - Freud | WoodTools,Sierra para Madera LG2B. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lg2b,,,Medida,LG2B 1100,352200,,,,,,,LG2B 1100,,no,no,,,,,,si,,
sierras-lu2a,Sierra para Madera Blanda y Dura,Sierras,Medida,LU2A 1600,63500,,,,,,,LU2A 1600,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2A/1.jpg"" alt=""Sierra para Madera Blanda y Dura"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2A/2.jpg"" alt=""Sierra para Madera Blanda y Dura"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera Blanda y Dura</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera blanda y dura a favor/contra de la veta</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU2A",Sierra para Madera Blanda y Dura LU2A - Freud | WoodTools,Sierra para Madera Blanda y Dura LU2A. Madera blanda y dura a favor/contra de la veta Consultanos por medidas y stock.,Freud,si,,
sierras-lu2a,,,Medida,LU2A 2100,377400,,,,,,,LU2A 2100,,no,no,,,,,,si,,
sierras-lu2b,Sierra para Madera,Sierras,Medida,LU2B 0700,241100,,,,,,,LU2B 0700,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2B%202100/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2B%202100/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2B%202100/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU2B",Sierra para Madera LU2B - Freud | WoodTools,Sierra para Madera LU2B. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lu2b,,,Medida,LU2B 1200,380000,,,,,,,LU2B 1200,,no,no,,,,,,si,,
sierras-lu2c,Sierra para Madera,Sierras,Medida,LU2C 1200,380000,,,,,,,LU2C 1200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2C%201200/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2C%201200/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2C%201200/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU2C",Sierra para Madera LU2C - Freud | WoodTools,Sierra para Madera LU2C. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lu2c,,,Medida,LU2C 1500,232100,,,,,,,LU2C 1500,,no,no,,,,,,si,,
sierras-lu1d,Sierra para Madera,Sierras,Medida,LU1D 0500,185600,,,,,,,LU1D 0500,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1D/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1D/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1D/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera (Multipunto)</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU1D",Sierra para Madera LU1D - Freud | WoodTools,Sierra para Madera LU1D. Madera (Multipunto) Consultanos por medidas y stock.,Freud,si,,
sierras-lu1f,Sierra para Madera,Sierras,Medida,LU1F 0600,213300,,,,,,,LU1F 0600,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1F/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1F/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1F/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU1F",Sierra para Madera LU1F - Freud | WoodTools,Sierra para Madera LU1F. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-fi14m,Sierra de Ranurar,Sierras,Medida,FI14M AA3,286700,,,,,,,FI14M AA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FI14M%20AA3/1.jpg"" alt=""Sierra de Ranurar"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FI14M%20AA3/2.jpg"" alt=""Sierra de Ranurar"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FI14M%20AA3/3.jpg"" alt=""Sierra de Ranurar"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra de Ranurar</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Ranurado de Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,FI14M",Sierra de Ranurar FI14M - Freud | WoodTools,Sierra de Ranurar FI14M. Ranurado de Madera Consultanos por medidas y stock.,Freud,si,,
sierras-fi14m,,,Medida,FI14M AE3,93000,,,,,,,FI14M AE3,,no,no,,,,,,si,,
sierras-fr09w,Sierra Fina para Madera,Sierras,Medida,FR09W003H,143400,,,,,,,FR09W003H,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FR09W003H/1.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FR09W003H/2.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FR09W003H/3.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Fina para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,FR09W",Sierra Fina para Madera FR09W - Freud | WoodTools,Sierra Fina para Madera FR09W. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lp40m,Sierra Fina para Madera,Sierras,Medida,LP40M 016P,371200,,,,,,,LP40M 016P,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LP40M%20016P/1.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LP40M%20016P/2.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LP40M%20016P/3.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Fina para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LP40M",Sierra Fina para Madera LP40M - Freud | WoodTools,Sierra Fina para Madera LP40M. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lu4a,Sierra para Aluminio y Plásticos,Sierras,Medida,LU4A 0100,74400,,,,,,,LU4A 0100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU4A%200100/1.jpg"" alt=""Sierra para Aluminio y Plásticos"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU4A%200100/2.jpg"" alt=""Sierra para Aluminio y Plásticos"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU4A%200100/3.jpg"" alt=""Sierra para Aluminio y Plásticos"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio y Plásticos</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio y Plásticos</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU4A",Sierra para Aluminio y Plásticos LU4A - Freud | WoodTools,Sierra para Aluminio y Plásticos LU4A. Aluminio y Plásticos Consultanos por medidas y stock.,Freud,si,,
sierras-lu4a,,,Medida,LU4A 0200,102200,,,,,,,LU4A 0200,,no,no,,,,,,si,,
sierras-lu5b,Sierra para Aluminio,Sierras,Medida,LU5B 0200,102200,,,,,,,LU5B 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5B/1.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5B/2.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5B/3.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio y Metales No Ferrosos</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU5B",Sierra para Aluminio LU5B - Freud | WoodTools,Sierra para Aluminio LU5B. Aluminio y Metales No Ferrosos Consultanos por medidas y stock.,Freud,si,,
sierras-lu5b,,,Medida,LU5B 0600,213300,,,,,,,LU5B 0600,,no,no,,,,,,si,,
sierras-lu5d,Sierra para Aluminio,Sierras,Medida,LU5D 0500,185600,,,,,,,LU5D 0500,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5D/1.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5D/2.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5D/3.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU5D",Sierra para Aluminio LU5D - Freud | WoodTools,Sierra para Aluminio LU5D. Aluminio Consultanos por medidas y stock.,Freud,si,,
sierras-lu5d,,,Medida,LU5D 1100,352200,,,,,,,LU5D 1100,,no,no,,,,,,si,,
sierras-lu5e,Sierra para Aluminio Gruesa,Sierras,Medida,LU5E 0100,74400,,,,,,,LU5E 0100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5E/1.jpg"" alt=""Sierra para Aluminio Gruesa"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5E/2.jpg"" alt=""Sierra para Aluminio Gruesa"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5E/3.jpg"" alt=""Sierra para Aluminio Gruesa"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio Gruesa</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU5E",Sierra para Aluminio Gruesa LU5E - Freud | WoodTools,Sierra para Aluminio Gruesa LU5E. Aluminio Consultanos por medidas y stock.,Freud,si,,
sierras-lu5e,,,Medida,LU5E 0200,102200,,,,,,,LU5E 0200,,no,no,,,,,,si,,
